category_id,category_en,category_cn,parent_id,level,product_count
17365811011,Moda,时尚,,L1,7921282
6740748011,Livros,图书,,L1,3392877
16191000011,Casa,家居,,L1,3174669
5308307011,Loja Kindle,Kindle 商店,,L1,2703806
16209062011,Eletrônicos e Tecnologia,电子科技,,L1,2184919
16957125011,Cozinha,厨房,,L1,1292392
16957239011,Papelaria e Escritório,文具及办公,,L1,1047769
16957182011,Ferramentas e Materiais de Construção,工具及建材,,L1,1006571
16194414011,Beleza,美妆,,L1,873384
17349396011,"Esporte, Aventura e Lazer",运动冒险休闲,,L1,845304
16339926011,Computadores e Informática,电脑及IT,,L1,759760
16194299011,Brinquedos e Jogos,玩具及游戏,,L1,738281
18914209011,Automotivo,汽车,,L1,675823
18991136011,Pet Shop,宠物用品,,L1,366332
16215417011,Saúde e Bem-Estar,健康养生,,L1,333737
7791937011,CD e Vinil,音乐唱片,,L1,295833
18991021011,Jardim e Piscina,花园及泳池,,L1,263145
18991195011,Indústria e Comércio,工业商业,,L1,229408
17242603011,Bebês,母婴,,L1,170599
18991252011,Instrumentos Musicais,乐器,,L1,160804
18991079011,Alimentos e Bebidas,食品饮料,,L1,143546
7791856011,DVD e Blu-ray,DVD及蓝光,,L1,122265
6446175011,Apps e Jogos,应用及游戏,,L1,73346
7791985011,Games e Consoles,游戏及主机,,L1,72568
18730410011,Prime Video,Prime Video,,L1,43392
16522082011,Eletrodomésticos,家用电器,,L1,37282
17938238011,Alexa Skills,Alexa 技能,,L1,2196
16333486011,Dispositivos Amazon e Acessórios,Amazon 设备及配件,,L1,302
24428022011,Audiolivros,有声书,,L1,0
