source,country,keyword_or_domain,data_type,date,trend_index,search_volume,cpc,estimated_traffic,traffic_source,backlinks,referring_domains,ranking_position,update_time,source_url,is_partial,google_trends_timestamp
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,10.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T09:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,25.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T09:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,9.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T10:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,22.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T10:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,15.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T11:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,21.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T11:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,9.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T12:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,22.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T12:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,12.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T13:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,14.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T13:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,8.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T14:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,13.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T14:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,9.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T15:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,15.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T15:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,12.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T16:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,18.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T16:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,16.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T17:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,18.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T17:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,17.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T18:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,21.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T18:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,14.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T19:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,22.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T19:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,20.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T20:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,18.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T20:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,19.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T21:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,19.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T21:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,13.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T22:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,16.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T22:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-27,14.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T23:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-27,31.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-27T23:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,36.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T00:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,19.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T00:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,21.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T01:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,19.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T01:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,14.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T02:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,28.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T02:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,18.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T03:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,27.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T03:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,12.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T04:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,34.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T04:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,8.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T05:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,39.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T05:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,22.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T06:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,41.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T06:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,11.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T07:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,36.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T07:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,11.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T08:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,29.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T08:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,10.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T09:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,30.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T09:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,14.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T10:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,31.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T10:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,12.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T11:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,32.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T11:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,40.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T12:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,24.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T12:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,9.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T13:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,20.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T13:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,100.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T14:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,16.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T14:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,25.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T15:00:00
Google Trends,GLOBAL,travel cosmetic bag,keyword,2026-03-28,16.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T15:00:00
Google Trends,GLOBAL,insulated lunch bag,keyword,2026-03-28,16.0,,,,Search Trend,,,,2026-04-03 09:28:32,https://trends.google.com,False,2026-03-28T16:00:00
